0,1.1123
5,1.1182
10,1.1211
15,1.1247
20,1.1296
25,1.1343
30,1.1393
35,1.1451
40,1.1523
45,1.1593
50,1.1644
55,1.1694
60,1.1731
65,1.1742
70,1.1756
75,1.1774
80,1.1785
85,1.1803
90,1.1803
95,1.1783
100,1.1748
105,1.1712
110,1.1657
115,1.1586
120,1.1515
125,1.1449
130,1.1387
135,1.1304
140,1.119
145,1.1055
150,1.0918
155,1.0776
160,1.0623
165,1.0464
170,1.0276
175,1.0069
180,0.98757
185,0.97048
190,0.95358
195,0.93613
200,0.92005
205,0.90258
210,0.88538
215,0.86766
220,0.85051
225,0.83493
230,0.81977
235,0.8052
240,0.7919
245,0.77872
250,0.7634
255,0.74897
260,0.73568
265,0.72256
270,0.70983
275,0.69894
280,0.68875
285,0.67951
290,0.67296
295,0.66827
300,0.66736
305,0.66631
310,0.66716
315,0.67029
320,0.67624
325,0.68276
330,0.6923
335,0.7044
340,0.71778
345,0.73238
350,0.74894
355,0.76669
360,0.78483
365,0.80311
370,0.82191
375,0.84082
380,0.85972
385,0.87871
390,0.89619
395,0.91377
400,0.93284
405,0.95176
410,0.97043
415,0.98817
420,1.006
425,1.0234
430,1.0401
435,1.0549
440,1.0703
445,1.0848
450,1.0995
455,1.1127
460,1.1264
465,1.142
470,1.1567
475,1.1721
480,1.1853
485,1.1979
490,1.2096
495,1.2191
500,1.2268
505,1.2341
510,1.2402
515,1.2476
520,1.254
525,1.2558
530,1.2569
535,1.2569
540,1.2557
545,1.2539
550,1.2493
555,1.2434
560,1.2372
565,1.2296
570,1.2215
575,1.2128
580,1.2034
585,1.1925
590,1.1808
595,1.168
600,1.1546
605,1.1407
610,1.1265
615,1.1115
620,1.0969
625,1.0838
630,1.0714
635,1.058
640,1.0453
645,1.0346
650,1.0243
655,1.0132
660,1.0037
665,0.99502
670,0.98781
675,0.98137
680,0.97501
685,0.96838
690,0.96176
695,0.95433
700,0.94647
705,0.93698
710,0.92853
715,0.91751
720,0.90517
725,0.89189
730,0.87789
735,0.86295
740,0.84898
745,0.83574
750,0.82391
755,0.81277
760,0.80235
765,0.79302
770,0.78527
775,0.77867
780,0.77239
785,0.76532
790,0.75751
795,0.75101
800,0.74692
805,0.74336
810,0.74095
815,0.74027
820,0.73983
825,0.74137
830,0.74389
835,0.74883
840,0.75693
845,0.7658
850,0.7757
855,0.7844
860,0.79135
865,0.7991
870,0.80805
875,0.81617
880,0.82502
885,0.83438
890,0.84486
895,0.85618
900,0.86735
905,0.87936
910,0.89093
915,0.90266
920,0.91516
925,0.92857
930,0.9403
935,0.9501
940,0.96108
945,0.97049
950,0.98052
955,0.99184
960,1.0038
965,1.0157
970,1.026
975,1.0368
980,1.0476
985,1.0578
990,1.0677
995,1.0799
1000,1.0926
1005,1.1046
1010,1.1146
1015,1.1261
1020,1.1362
1025,1.1454
1030,1.1542
1035,1.1615
1040,1.1672
1045,1.1729
1050,1.1787
1055,1.1826
1060,1.1845
1065,1.1839
1070,1.1825
1075,1.1817
1080,1.1773
1085,1.1711
1090,1.1638
1095,1.1568
1100,1.1483
1105,1.1374
1110,1.1273
1115,1.117
1120,1.1071
1125,1.0961
1130,1.0839
1135,1.0705
1140,1.0569
1145,1.0433
1150,1.03
1155,1.0172
1160,1.0044
1165,0.99061
1170,0.97751
1175,0.96544
1180,0.95284
1185,0.93992
1190,0.92776
1195,0.91603
1200,0.90527
1205,0.89592
1210,0.88751
1215,0.87979
1220,0.87032
1225,0.86072
1230,0.85166
1235,0.84455
1240,0.84127
1245,0.8395
1250,0.8401
1255,0.84211
1260,0.84474
1265,0.84818
1270,0.85226
1275,0.85556
1280,0.85856
1285,0.85909
1290,0.85924
1295,0.86017
1300,0.86164
1305,0.86322
1310,0.86764
1315,0.87459
1320,0.88334
1325,0.89222
1330,0.90229
1335,0.91257
1340,0.92191
1345,0.9303
1350,0.9384
1355,0.94655
1360,0.95527
1365,0.96254
1370,0.96964
1375,0.97571
1380,0.98151
1385,0.98722
1390,0.99238
1395,0.99766
1400,1.0052
1405,1.0149
1410,1.0248
1415,1.0352
1420,1.043
1425,1.0513
1430,1.0606
